Experiment: floating_5det_two_layer_low_tile
Date: 20260406_1609
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Int.Ratio | MaskWt | Time(s) | Status
   77 |   3.488835 |    0.8581 | 0.066340 |  0.8790 | 1.00e-03 | 50.0232 | 1500.0000 |   79.61 | 
   78 |   3.429414 |    0.8677 | 0.065284 |  0.9030 | 1.00e-03 | 50.4738 | 1500.0000 |   80.37 | Best Model Saved
   79 |   4.246513 |    0.8633 | 0.065549 |  0.8940 | 1.00e-03 | 50.3665 | 1500.0000 |   81.60 | 
   80 |   2.902055 |    0.8683 | 0.064968 |  0.9220 | 1.00e-03 | 50.5692 | 1500.0000 |   81.76 | Best Model Saved
   81 |   3.617055 |    0.8654 | 0.065204 |  0.9035 | 1.00e-03 | 50.5160 | 1500.0000 |   79.52 | 
   82 |   4.099031 |    0.8657 | 0.065694 |  0.8820 | 1.00e-03 | 50.3285 | 1500.0000 |   82.45 | 
   83 |   3.609673 |    0.8706 | 0.065472 |  0.8610 | 1.00e-03 | 50.6338 | 1500.0000 |   80.87 | 
   84 |   7.522429 |    0.8677 | 0.065182 |  0.8945 | 1.00e-03 | 50.5569 | 1500.0000 |   83.44 | 
   85 |   4.948670 |    0.8582 | 0.065651 |  0.8720 | 1.00e-03 | 50.3558 | 1500.0000 |   80.77 | 
   86 |   3.338894 |    0.8625 | 0.064420 |  0.9320 | 1.00e-03 | 50.8322 | 1500.0000 |   79.53 | Best Model Saved
   87 |   3.060372 |    0.8804 | 0.065570 |  0.8730 | 1.00e-03 | 50.3794 | 1500.0000 |   81.09 | 
   88 |   3.600514 |    0.8662 | 0.064967 |  0.9010 | 1.00e-03 | 50.6927 | 1500.0000 |   81.46 | 
   89 |   3.473462 |    0.8663 | 0.065125 |  0.8695 | 1.00e-03 | 50.6691 | 1500.0000 |   80.81 | 
   90 |   3.451699 |    0.8592 | 0.064867 |  0.8775 | 1.00e-03 | 50.8127 | 1500.0000 |   82.21 | 
   91 |   8.075538 |    0.8732 | 0.063922 |  0.9285 | 1.00e-03 | 51.0702 | 1500.0000 |   78.36 | Best Model Saved
   92 |   4.053822 |    0.8720 | 0.064033 |  0.9165 | 1.00e-03 | 51.0186 | 1500.0000 |   79.22 | 
   93 |   5.558186 |    0.8755 | 0.064533 |  0.9100 | 1.00e-03 | 50.7822 | 1500.0000 |   81.15 | 
   94 |   3.927330 |    0.8568 | 0.064603 |  0.9005 | 1.00e-03 | 50.7663 | 1500.0000 |   81.84 | 
