Experiment: floating_5det_two_layer
Date: 20260406_0332
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Int.Ratio | MaskWt | Time(s) | Status
  100 |   1.100033 |    0.7740 | 0.140696 |  0.7360 | 1.56e-05 | 39.1153 | 1500.0000 |   81.43 | 
  101 |   1.932455 |    0.7750 | 0.148911 |  0.7375 | 1.56e-05 | 39.1136 | 1500.0000 |   80.00 | 
  102 |   0.357939 |    0.7861 | 0.143282 |  0.7375 | 1.56e-05 | 39.1136 | 1500.0000 |   80.93 | 
  103 |   0.278376 |    0.7880 | 0.140734 |  0.7395 | 1.56e-05 | 39.1152 | 1500.0000 |   81.57 | 
  104 |   1.598439 |    0.7842 | 0.155438 |  0.7380 | 1.56e-05 | 39.1137 | 1500.0000 |   81.56 | 
  105 |   1.213081 |    0.7832 | 0.157652 |  0.7390 | 1.56e-05 | 39.1152 | 1500.0000 |   83.06 | 
  106 |   0.837537 |    0.7773 | 0.161793 |  0.7390 | 1.56e-05 | 39.1155 | 1500.0000 |   82.09 | 
  107 |   2.409427 |    0.7847 | 0.152695 |  0.7390 | 1.56e-05 | 39.1161 | 1500.0000 |   81.95 | 
  108 |   0.275682 |    0.7867 | 0.134757 |  0.7410 | 7.81e-06 | 39.1187 | 1500.0000 |   81.28 | 
  109 |   0.307788 |    0.7846 | 0.132483 |  0.7410 | 7.81e-06 | 39.1199 | 1500.0000 |   81.61 | 
  110 |   2.132061 |    0.7927 | 0.141195 |  0.7405 | 7.81e-06 | 39.1199 | 1500.0000 |   82.50 | 
  111 |   1.587500 |    0.7894 | 0.153547 |  0.7405 | 7.81e-06 | 39.1200 | 1500.0000 |   81.73 | 
  112 |   1.631527 |    0.7775 | 0.163539 |  0.7400 | 7.81e-06 | 39.1186 | 1500.0000 |   80.76 | 
  113 |   1.416639 |    0.7816 | 0.157738 |  0.7405 | 7.81e-06 | 39.1189 | 1500.0000 |   80.48 | 
  114 |   1.251876 |    0.7832 | 0.155385 |  0.7405 | 7.81e-06 | 39.1191 | 1500.0000 |   82.03 | 
  115 |   2.395343 |    0.7779 | 0.159314 |  0.7405 | 7.81e-06 | 39.1191 | 1500.0000 |   80.24 | 
  116 |   2.167501 |    0.7896 | 0.169042 |  0.7395 | 7.81e-06 | 39.1182 | 1500.0000 |   80.74 | 
  117 |   1.139857 |    0.7780 | 0.167346 |  0.7400 | 7.81e-06 | 39.1175 | 1500.0000 |   81.48 | 
  118 |   1.739346 |    0.7710 | 0.168851 |  0.7395 | 7.81e-06 | 39.1168 | 1500.0000 |   76.95 | 
  119 |   1.118621 |    0.7765 | 0.159153 |  0.7400 | 3.91e-06 | 39.1182 | 1500.0000 |   83.11 | 
  120 |   1.220794 |    0.7771 | 0.156905 |  0.7400 | 3.91e-06 | 39.1185 | 1500.0000 |   82.94 | 
  121 |   1.240662 |    0.7833 | 0.160271 |  0.7400 | 3.91e-06 | 39.1183 | 1500.0000 |   81.86 | 
  122 |   1.543005 |    0.7903 | 0.165688 |  0.7395 | 3.91e-06 | 39.1186 | 1500.0000 |   82.56 | 
  123 |   4.762886 |    0.7790 | 0.166825 |  0.7395 | 3.91e-06 | 39.1181 | 1500.0000 |   80.19 | 
  124 |   2.998185 |    0.7761 | 0.162401 |  0.7400 | 3.91e-06 | 39.1180 | 1500.0000 |   83.34 | 
  125 |   1.352278 |    0.7788 | 0.157817 |  0.7405 | 3.91e-06 | 39.1178 | 1500.0000 |   79.83 | 
  126 |   1.277108 |    0.7818 | 0.159182 |  0.7405 | 3.91e-06 | 39.1173 | 1500.0000 |   82.31 | 
  127 |   0.901161 |    0.7812 | 0.155300 |  0.7405 | 3.91e-06 | 39.1175 | 1500.0000 |   82.26 | 
  128 |   1.288151 |    0.7716 | 0.154727 |  0.7400 | 3.91e-06 | 39.1173 | 1500.0000 |   80.32 | 
  129 |   1.320568 |    0.7900 | 0.155958 |  0.7405 | 3.91e-06 | 39.1172 | 1500.0000 |   83.02 | 
  130 |   1.206036 |    0.7850 | 0.156112 |  0.7405 | 1.95e-06 | 39.1175 | 1500.0000 |   81.42 | 
  131 |   0.609860 |    0.7923 | 0.155120 |  0.7405 | 1.95e-06 | 39.1176 | 1500.0000 |   82.27 | 
  132 |   1.417646 |    0.7761 | 0.153497 |  0.7405 | 1.95e-06 | 39.1177 | 1500.0000 |   81.77 | 
  133 |   0.656310 |    0.7725 | 0.152120 |  0.7405 | 1.95e-06 | 39.1180 | 1500.0000 |   83.78 | 
  134 |   1.740981 |    0.7852 | 0.151507 |  0.7405 | 1.95e-06 | 39.1181 | 1500.0000 |   80.17 | 
  135 |   1.838480 |    0.7923 | 0.151476 |  0.7405 | 1.95e-06 | 39.1182 | 1500.0000 |   81.87 | 
  136 |   1.356012 |    0.7824 | 0.152117 |  0.7405 | 1.95e-06 | 39.1183 | 1500.0000 |   80.51 | 
  137 |   0.987617 |    0.7741 | 0.151384 |  0.7405 | 1.95e-06 | 39.1183 | 1500.0000 |   81.39 | 
  138 |   1.514033 |    0.7799 | 0.151936 |  0.7405 | 1.95e-06 | 39.1181 | 1500.0000 |   79.03 | 
  139 |   0.898954 |    0.7747 | 0.151829 |  0.7405 | 1.95e-06 | 39.1183 | 1500.0000 |   81.19 | 
  140 |   1.107633 |    0.7806 | 0.153119 |  0.7405 | 1.95e-06 | 39.1183 | 1500.0000 |   81.67 | 
  141 |   1.777460 |    0.7928 | 0.154120 |  0.7405 | 9.77e-07 | 39.1184 | 1500.0000 |   81.78 | 
  142 |  13.272914 |    0.7785 | 0.152746 |  0.7405 | 9.77e-07 | 39.1185 | 1500.0000 |   79.50 | 
  143 |   1.228045 |    0.7809 | 0.153218 |  0.7405 | 9.77e-07 | 39.1185 | 1500.0000 |   81.42 | 
  144 |   0.776801 |    0.7843 | 0.153824 |  0.7405 | 9.77e-07 | 39.1186 | 1500.0000 |   80.04 | 
  145 |   1.577594 |    0.7898 | 0.154707 |  0.7405 | 9.77e-07 | 39.1185 | 1500.0000 |   81.21 | 
  146 |   1.355238 |    0.7864 | 0.155265 |  0.7405 | 9.77e-07 | 39.1185 | 1500.0000 |   81.37 | 
  147 |   0.781755 |    0.7792 | 0.156656 |  0.7405 | 9.77e-07 | 39.1185 | 1500.0000 |   81.61 | 
  148 |   0.794148 |    0.7802 | 0.155177 |  0.7405 | 9.77e-07 | 39.1187 | 1500.0000 |   77.62 | 
  149 |   1.272769 |    0.7824 | 0.155161 |  0.7405 | 9.77e-07 | 39.1188 | 1500.0000 |   81.66 | 
  150 |   1.572551 |    0.7862 | 0.155717 |  0.7405 | 9.77e-07 | 39.1186 | 1500.0000 |   82.00 | 
--------------------------------------------------------------------------------
Total training time: 12166.22 seconds
Best Validation Accuracy (associated with best score): 0.770500
Best Score: 20.349012
