Experiment: floating_5det_two_layer
Date: 20260404_0341
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Int.Ratio | MaskWt | Time(s) | Status
   71 | 242.857127 |    0.9987 | 117.211984 |  0.9985 | 1.00e-03 | 60.6355 | 2500.0000 |   71.94 | Best Model Saved
   72 | 344.019638 |    0.9977 | 79.294572 |  0.9995 | 1.00e-03 | 60.7210 | 2500.0000 |   69.82 | Best Model Saved
   73 | 202.198224 |    0.9992 | 83.127560 |  1.0000 | 1.00e-03 | 60.7423 | 2500.0000 |   71.06 | Best Model Saved
   74 | 220.261623 |    0.9977 | 133.662542 |  1.0000 | 1.00e-03 | 60.5655 | 2500.0000 |   71.85 | 
   75 | 255.476437 |    0.9956 | 64.479625 |  0.9995 | 1.00e-03 | 60.7123 | 2500.0000 |   70.01 | 
   76 | 184.506960 |    0.9993 | 80.658153 |  1.0000 | 1.00e-03 | 60.4513 | 2500.0000 |   72.59 | 
   77 | 216.380985 |    0.9969 | 53.127547 |  1.0000 | 1.00e-03 | 60.3470 | 2500.0000 |   71.99 | 
   78 | 187.956812 |    0.9999 | 75.903278 |  1.0000 | 1.00e-03 | 60.4102 | 2500.0000 |   72.00 | 
   79 | 206.012996 |    0.9964 | 38.359366 |  1.0000 | 1.00e-03 | 60.7721 | 2500.0000 |   71.93 | Best Model Saved
   80 | 415.076321 |    0.9980 | 93.152958 |  0.9995 | 1.00e-03 | 60.7663 | 2500.0000 |   72.48 | 
--------------------------------------------------------------------------------
Total training time: 5804.19 seconds
Best Validation Accuracy (associated with best score): 1.000000
Best Score: 31.386033
