Experiment: floating_5det_one
Date: 20260405_0338
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Int.Ratio | MaskWt | Time(s) | Status
   60 | 2468.204305 |    0.9187 | 1695.997678 |  0.9315 | 1.00e-03 | 54.4184 | 1600.0000 |   57.77 | Best Model Saved
   61 | 2563.959134 |    0.9172 | 1756.639276 |  0.9300 | 1.00e-03 | 54.2760 | 1600.0000 |   56.30 | 
   62 | 2650.418154 |    0.9105 | 2002.784667 |  0.9285 | 1.00e-03 | 54.3754 | 1600.0000 |   54.70 | 
   63 | 2443.048635 |    0.9165 | 1750.821598 |  0.9340 | 1.00e-03 | 54.4461 | 1600.0000 |   53.91 | Best Model Saved
   64 | 2443.792706 |    0.9148 | 1687.126450 |  0.9345 | 1.00e-03 | 54.5177 | 1600.0000 |   57.44 | Best Model Saved
   65 | 2427.714147 |    0.9186 | 1558.617894 |  0.9320 | 1.00e-03 | 54.6013 | 1600.0000 |   57.07 | Best Model Saved
   66 | 2498.104135 |    0.9144 | 1780.184701 |  0.9295 | 1.00e-03 | 54.5240 | 1600.0000 |   56.53 | 
   67 | 2320.107448 |    0.9216 | 1709.173090 |  0.9335 | 1.00e-03 | 54.3571 | 1600.0000 |   56.39 | 
   68 | 2254.049092 |    0.9213 | 1585.343822 |  0.9335 | 1.00e-03 | 54.7858 | 1600.0000 |   56.38 | Best Model Saved
   69 | 2386.989074 |    0.9187 | 1748.262505 |  0.9500 | 1.00e-03 | 54.6533 | 1600.0000 |   58.50 | 
   70 | 2305.777867 |    0.9242 | 1474.292408 |  0.9600 | 1.00e-03 | 54.6891 | 1600.0000 |   57.77 | 
   71 | 2359.810500 |    0.9221 | 1516.482461 |  0.9385 | 1.00e-03 | 54.6787 | 1600.0000 |   56.41 | 
   72 | 2374.235717 |    0.9178 | 1512.091880 |  0.9380 | 1.00e-03 | 54.7205 | 1600.0000 |   52.82 | 
   73 | 2232.559860 |    0.9231 | 1427.220166 |  0.9320 | 1.00e-03 | 54.7049 | 1600.0000 |   55.44 | 
   74 | 2102.036510 |    0.9309 | 1568.338096 |  0.9340 | 1.00e-03 | 54.3493 | 1600.0000 |   54.42 | 
   75 | 2008.789366 |    0.9361 | 1411.403988 |  0.9435 | 1.00e-03 | 54.7869 | 1600.0000 |   54.25 | Best Model Saved
   76 | 2219.633286 |    0.9250 | 1496.258975 |  0.9350 | 1.00e-03 | 54.8447 | 1600.0000 |   55.79 | Best Model Saved
   77 | 2229.365294 |    0.9202 | 1351.596807 |  0.9370 | 1.00e-03 | 55.0720 | 1600.0000 |   56.76 | Best Model Saved
   78 | 2057.698084 |    0.9274 | 1314.995858 |  0.9685 | 1.00e-03 | 54.8448 | 1600.0000 |   56.51 | 
   79 | 1970.723509 |    0.9342 | 1514.236198 |  0.9345 | 1.00e-03 | 54.9771 | 1600.0000 |   52.82 | 
   80 | 2115.318661 |    0.9314 | 1325.364727 |  0.9470 | 1.00e-03 | 55.2919 | 1600.0000 |   58.01 | Best Model Saved
   81 | 2064.566791 |    0.9299 | 1315.728045 |  0.9605 | 1.00e-03 | 55.0321 | 1600.0000 |   56.95 | 
   82 | 2016.185981 |    0.9340 | 1320.755854 |  0.9595 | 1.00e-03 | 54.8646 | 1600.0000 |   55.52 | 
   83 | 1944.855556 |    0.9376 | 1235.299465 |  0.9375 | 1.00e-03 | 55.1103 | 1600.0000 |   56.80 | 
   84 | 2180.671064 |    0.9321 | 1451.389572 |  0.9840 | 1.00e-03 | 55.3246 | 1600.0000 |   56.06 | Best Model Saved
   85 | 2058.944277 |    0.9333 | 1256.797295 |  0.9595 | 1.00e-03 | 54.9249 | 1600.0000 |   54.43 | 
   86 | 1856.389072 |    0.9431 | 1201.217087 |  0.9745 | 1.00e-03 | 55.1060 | 1600.0000 |   58.41 | 
