Experiment: floating_5det_two_layer_zero_tilt
Date: 20260406_1931
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Int.Ratio | MaskWt | Time(s) | Status
   63 |   7.095205 |    0.9008 | 0.049578 |  0.9155 | 1.00e-03 | 58.2947 | 1500.0000 |   75.77 | 
   64 |   4.073748 |    0.9048 | 0.049098 |  0.9435 | 1.00e-03 | 58.4859 | 1500.0000 |   78.22 | Best Model Saved
   65 |   5.195020 |    0.9076 | 0.048834 |  0.9375 | 1.00e-03 | 58.5843 | 1500.0000 |   76.48 | Best Model Saved
   66 |   1.286818 |    0.9037 | 0.049010 |  0.9310 | 1.00e-03 | 58.5949 | 1500.0000 |   75.04 | 
   67 |   1.060228 |    0.9125 | 0.049068 |  0.9175 | 1.00e-03 | 58.7240 | 1500.0000 |   76.47 | Best Model Saved
   68 |   5.043123 |    0.9043 | 0.048990 |  0.9325 | 1.00e-03 | 58.6083 | 1500.0000 |   75.96 | 
   69 |   8.675029 |    0.9030 | 0.048913 |  0.9380 | 1.00e-03 | 58.5661 | 1500.0000 |   76.55 | 
   70 |   3.036354 |    0.9037 | 0.049430 |  0.8980 | 1.00e-03 | 58.6492 | 1500.0000 |   78.74 | 
   71 |   1.621401 |    0.9049 | 0.048424 |  0.9375 | 1.00e-03 | 58.8839 | 1500.0000 |   78.38 | Best Model Saved
   72 |   1.436992 |    0.9042 | 0.048974 |  0.9245 | 1.00e-03 | 58.7775 | 1500.0000 |   78.82 | 
   73 |   7.838563 |    0.9014 | 0.048427 |  0.9350 | 1.00e-03 | 58.9041 | 1500.0000 |   77.99 | Best Model Saved
   74 |   2.021310 |    0.8997 | 0.048988 |  0.9115 | 1.00e-03 | 58.7667 | 1500.0000 |   78.26 | 
   75 |   1.127268 |    0.9043 | 0.048718 |  0.9080 | 1.00e-03 | 58.9436 | 1500.0000 |   77.60 | 
   76 |  21.012816 |    0.9038 | 0.048527 |  0.9370 | 1.00e-03 | 58.8004 | 1500.0000 |   76.85 | 
   77 |   0.679828 |    0.8968 | 0.048223 |  0.9365 | 1.00e-03 | 59.0204 | 1500.0000 |   77.84 | Best Model Saved
   78 |   1.798169 |    0.9136 | 0.048792 |  0.9320 | 1.00e-03 | 58.7330 | 1500.0000 |   78.82 | 
   79 |   2.846364 |    0.9080 | 0.048612 |  0.9180 | 1.00e-03 | 58.9200 | 1500.0000 |   74.94 | 
   80 |  13.521611 |    0.9042 | 0.048871 |  0.9060 | 1.00e-03 | 58.6821 | 1500.0000 |   77.15 | 
   81 |   1.805197 |    0.9063 | 0.048186 |  0.9330 | 1.00e-03 | 58.9221 | 1500.0000 |   77.93 | 
   82 |   1.730821 |    0.9021 | 0.047983 |  0.9385 | 1.00e-03 | 59.1392 | 1500.0000 |   78.07 | Best Model Saved
   83 |   1.600850 |    0.9061 | 0.047602 |  0.9375 | 1.00e-03 | 59.3286 | 1500.0000 |   76.14 | Best Model Saved
   84 |   6.910079 |    0.9087 | 0.048621 |  0.8985 | 1.00e-03 | 58.9840 | 1500.0000 |   77.89 | 
   85 |   3.776182 |    0.9104 | 0.048570 |  0.8890 | 1.00e-03 | 59.0485 | 1500.0000 |   77.60 | 
   86 |   3.950935 |    0.9096 | 0.048164 |  0.9265 | 1.00e-03 | 59.0061 | 1500.0000 |   78.38 | 
   87 |   2.587051 |    0.9018 | 0.048494 |  0.8975 | 1.00e-03 | 59.0841 | 1500.0000 |   77.22 | 
   88 |   1.322729 |    0.9140 | 0.048047 |  0.9240 | 1.00e-03 | 59.1669 | 1500.0000 |   78.06 | 
   89 |   4.067270 |    0.9074 | 0.048316 |  0.9130 | 1.00e-03 | 59.1562 | 1500.0000 |   77.05 | 
   90 |   1.428401 |    0.9131 | 0.047755 |  0.9310 | 1.00e-03 | 59.3113 | 1500.0000 |   77.56 | 
   91 |   6.379570 |    0.9107 | 0.047602 |  0.9380 | 1.00e-03 | 59.3216 | 1500.0000 |   75.36 | 
   92 |   4.592067 |    0.9096 | 0.047300 |  0.9360 | 1.00e-03 | 59.4488 | 1500.0000 |   77.06 | Best Model Saved
   93 |   0.901293 |    0.9100 | 0.047506 |  0.9225 | 1.00e-03 | 59.5328 | 1500.0000 |   74.93 | Best Model Saved
   94 |   4.990340 |    0.9064 | 0.047669 |  0.9235 | 1.00e-03 | 59.3573 | 1500.0000 |   78.54 | 
   95 |   1.284352 |    0.9025 | 0.048089 |  0.9020 | 1.00e-03 | 59.0809 | 1500.0000 |   77.01 | 
   96 |   4.804340 |    0.9064 | 0.047690 |  0.9170 | 1.00e-03 | 59.4473 | 1500.0000 |   76.83 | 
   97 |   5.680348 |    0.9071 | 0.048694 |  0.9005 | 1.00e-03 | 59.1148 | 1500.0000 |   75.37 | 
   98 |   1.879570 |    0.9090 | 0.048035 |  0.9160 | 1.00e-03 | 59.1498 | 1500.0000 |   76.41 | 
   99 |   4.427334 |    0.9071 | 0.047975 |  0.8985 | 1.00e-03 | 59.5235 | 1500.0000 |   76.29 | 
  100 |   2.049857 |    0.9101 | 0.047496 |  0.9345 | 1.00e-03 | 59.3680 | 1500.0000 |   76.80 | 
  101 |   2.007285 |    0.9172 | 0.047716 |  0.9005 | 1.00e-03 | 59.3489 | 1500.0000 |   79.15 | 
  102 |   2.653208 |    0.9068 | 0.047383 |  0.9280 | 1.00e-03 | 59.3798 | 1500.0000 |   78.60 | 
  103 |   1.795257 |    0.9077 | 0.047070 |  0.9395 | 1.00e-03 | 59.5231 | 1500.0000 |   76.54 | Best Model Saved
  104 |   7.643032 |    0.9157 | 0.047265 |  0.9360 | 1.00e-03 | 59.4306 | 1500.0000 |   76.34 | 
  105 |   3.222445 |    0.9063 | 0.047335 |  0.9170 | 1.00e-03 | 59.6816 | 1500.0000 |   78.35 | Best Model Saved
